Source,Target,Weight
6,0,0.3014354066985646
10,0,0.35333333333333333
21,0,0.3404255319148936
22,0,0.24000000000000002
26,0,0.36170212765957444
27,0,0.3111111111111111
30,0,0.23529411764705882
33,0,0.30303030303030304
38,0,0.24242424242424243
1,2,0.31601731601731603
2,1,0.261180679785331
9,1,0.24347826086956526
15,1,0.20952380952380953
19,1,0.35714285714285715
9,2,0.24347826086956526
18,2,0.20338983050847456
19,2,0.4107142857142857
3,4,0.21468926553672318
4,3,0.2585034013605442
12,3,0.30128205128205127
15,3,0.24761904761904766
22,3,0.29333333333333333
31,3,0.3023255813953489
35,3,0.6666666666666666
37,3,0.2413793103448276
38,3,0.393939393939394
7,4,0.5043478260869566
12,4,0.3782051282051282
35,4,0.2962962962962963
36,4,0.2
38,4,0.4545454545454546
37,10,0.2068965517241379
38,12,0.24242424242424243
